Ejecucion;Metodo;Tiempo_Segundos
HashAbiertoInt;100;insert;6.0744e-05
HashAbiertoInt;100;insert;2.9986e-05
HashAbiertoInt;100;insert;2.9685e-05
HashAbiertoInt;100;insert;2.9836e-05
HashAbiertoInt;100;insert;2.8944e-05
HashAbiertoInt;100;insert;2.9536e-05
HashAbiertoInt;100;insert;2.8844e-05
HashAbiertoInt;100;insert;2.9265e-05
HashAbiertoInt;100;insert;2.9234e-05
HashAbiertoInt;100;insert;3.0036e-05
HashAbiertoInt;100;insert;2.8684e-05
HashAbiertoInt;100;insert;2.9224e-05
HashAbiertoInt;100;insert;2.8714e-05
HashAbiertoInt;100;insert;3.6558e-05
HashAbiertoInt;100;insert;2.9415e-05
HashAbiertoInt;100;insert;2.9275e-05
HashAbiertoInt;100;insert;2.8764e-05
HashAbiertoInt;100;insert;2.9255e-05
HashAbiertoInt;100;insert;2.8925e-05
HashAbiertoInt;100;insert;2.9545e-05
