ejecucion;metodo;tiempo_segundos
1;insertion;0.00436022
2;insertion;0.0044769
3;insertion;0.00452114
4;insertion;0.0045947
5;insertion;0.00632864
6;insertion;0.00467404
7;insertion;0.00431357
8;insertion;0.00479821
9;insertion;0.00447755
10;insertion;0.00447114
11;insertion;0.00444969
12;insertion;0.00506439
13;insertion;0.00509453
14;insertion;0.00435036
15;insertion;0.00654749
16;insertion;0.0044186
17;insertion;0.00462536
18;insertion;0.00443686
19;insertion;0.00462197
20;insertion;0.0042591
